SMILES,ID,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
C=C(Br)CNc1ccc(C(=O)NC)nn1,Z1316687793,11.913478940199946,11.913478940199946,0.023794288548752984,-3.1395374284355615,0.8618562415623664,271.11799999999977,260.03,270.0116230720003,80,0,0.2710443450839796,-0.36399837090184894,0.36399837090184894,0.2710443450839796,1.9333333333333333,2.8,3.533333333333333,11.565112089080586,-0.2440726993992037,2.0332222101360618e-16,-2.3885180278011195,1.9477979770243778e-16,-2.563709187649175,1.9619948406518217,-0.9450080629539328,2.5300452398194504,3.391416502343764,747.9175977154246,20.61036598507973,18.07506714547292,8.661063684587628,11.634657471562507,8.829174359236337,4.2277454377937715,2.0767585930380235,2.869756862595376,1.1015107970118905,1.2788306006888848,0.5639956261203704,0.6526555279588675,-1.43,180156.9313918236,3.5517311978484143,5.4507777265602195,3.6669382866008555,111.6738430288173,10.619626706576751,5.817862777835028,8.517612151504862,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,10.197363616602075,22.460982859951216,12.08483741532659,22.067334807313536,8.224551337021321,19.955048346260202,27.65498640513588,0.0,15.507176969890452,0.0,0.0,18.782499937886566,28.792176926381604,0.0,0.0,10.619626706576751,5.817862777835028,0.0,15.929943897949348,29.577229930551773,0.0,0.0,22.82529218445226,23.098248931533142,2.8236841566564013,0.0,0.0,66.91,59.2997193714547,4.794537184071822,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,26.127307514551426,15.160511162188381,80.38095059184141,2.646887259048605,11.913478940199946,6.0904990182610135,-0.9350776985176787,-2.34450543797766,-1.8985180461073314,0.0,-6.937047960081645,0.0,0.2222222222222222,15,2,5,0,0,0,0,1,1,4,2,6,5,0,0,0,1,1.1566999999999998,61.97890000000001,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(Br)CNc1ccc(C(=O)OC)nn1,Z873034532,11.62181227353328,11.62181227353328,0.007531533446712313,-3.0978707617688954,0.8429608589568335,272.10199999999975,262.02199999999993,270.9956386600003,80,0,0.35808311985320945,-0.4642404286076255,0.4642404286076255,0.35808311985320945,2.0,2.8666666666666667,3.6,11.998274773329946,-0.24317057704206535,1.5406928469128028e-16,-2.385915364903064,0.04475694258089422,-2.453234947960554,2.296550330931853,-0.9464164182767153,2.4580342308394734,3.3218384595999684,718.318152309378,19.74012249707665,17.036101840436828,8.622098379551533,11.197100415501872,8.342995458700283,4.188780132757676,2.0493221809357816,2.8423204504931343,1.0834361374195334,1.2607559410965277,0.5549984709684357,0.6436583728069328,-1.43,109085.10113042498,3.859501712642849,5.4507777265602195,3.6669382866008555,109.77449894230998,10.046676307088426,5.817862777835028,7.105770073176662,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,10.197363616602075,22.460982859951216,12.08483741532659,10.97923223852063,19.374779464414566,23.280069221732045,27.717111963736222,0.0,10.197363616602075,0.0,0.0,18.84462549648691,28.792176926381604,0.0,0.0,5.309813353288376,5.817862777835028,0.0,15.929943897949348,29.70148104775246,4.736862953800049,0.0,22.82529218445226,23.098248931533142,1.4118420783282006,0.0,0.0,64.11,54.11415713536701,4.794537184071822,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,30.864170468351475,13.74866908386018,76.53934559316278,2.6504823003709186,11.62181227353328,6.507528462773998,-0.8934110318510118,-2.3227745233896036,-1.8263421201814056,0.0,-3.762103525983396,-3.0978707617688954,0.2222222222222222,15,1,5,0,0,0,0,1,1,5,1,6,5,0,0,0,1,1.5836999999999997,59.92820000000001,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(Br)CNc1ccc(C(F)(F)F)nn1,Z1558716701,12.524605843899902,12.524605843899902,0.13125897581254709,-5.013590154425968,0.9259199087883644,282.0629999999998,275.00699999999995,280.97754398400025,82,0,0.43468393467550825,-0.3639986847346478,0.43468393467550825,0.3639986847346478,1.7333333333333334,2.466666666666667,3.066666666666667,13.329521166021141,-0.16550785813384006,0.6143980408036357,-2.3863258337168625,0.6439626879101553,-2.4531457062178776,3.048143589274896,-0.7263234771464567,2.379205939036847,3.4125399336289286,617.7374893230827,17.45566544670048,13.853498678536782,8.439495217651487,9.813290266516589,6.797569732518329,4.143354406575722,2.1575616987971857,2.9505599683545385,1.0658990844991278,1.2432188881761221,0.5423683238713072,0.6310282257098042,-1.11,28857.38883457792,5.288484069716203,4.606245281678695,3.8640177310046893,102.41618420663801,5.309813353288376,5.817862777835028,7.105770073176662,0.0,0.0,6.176298517443475,0.0,0.0,13.171245143024459,10.197363616602075,22.460982859951216,12.08483741532659,10.97923223852063,8.224551337021321,22.807638558373977,21.747806675784375,0.0,10.197363616602075,0.0,6.176298517443475,11.80667303760432,28.792176926381604,0.0,0.0,5.309813353288376,18.98910792085949,0.0,15.929943897949348,16.69422330091802,6.176298517443475,0.0,13.91847933186978,23.098248931533142,1.4118420783282006,0.0,0.0,37.81,47.28319790597605,13.171245143024459,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,26.127307514551426,9.636393415349522,88.21091197667339,2.582604639077853,0.0,5.5503935185185185,-1.7301008466658272,-0.957222222222222,-2.5133021541950105,-5.013590154425968,-3.8796947567607303,0.0,0.25,15,1,3,0,0,0,0,1,1,3,1,7,3,0,0,0,1,2.8159,53.5907,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(Br)CNC(=O)c1cc(C)nnc1C,Z1559122795,12.596975151171577,12.596975151171577,0.40897439531368107,-3.1133960459183676,0.9095989769809806,270.12999999999977,258.034,269.0163741040003,80,0,0.2530409975029364,-0.3473940070015773,0.3473940070015773,0.2530409975029364,1.9333333333333333,2.8,3.466666666666667,10.804599607046455,-0.2459406034051913,1.3162378898174866e-17,-2.385396678178573,7.661611209902036e-17,-2.5832345603111513,1.7246954813200814,-0.9481452379768414,2.493976961507482,3.7281301464802117,782.8568380272588,21.5330157158901,19.127853549972965,8.71385008908767,11.935298734444734,9.43474716823642,4.280531842293813,2.239955194163034,3.0329534637203865,1.1996769273111136,1.3769967309881077,0.6631110866036862,0.7517709884421834,-1.23,220567.3224757217,3.381324861325877,5.021289691634908,3.4335969205798236,113.83583682753533,5.309813353288376,0.0,1.4118420783282006,0.0,5.907179729351506,0.0,4.794537184071822,0.0,10.197363616602075,0.0,22.460982859951216,19.746202942254655,19.203783575541948,23.805100262245016,21.284723380272442,21.837123627300855,0.0,15.507176969890452,0.0,13.703784234591359,6.496859684315945,34.007137705263766,0.0,0.0,5.309813353288376,0.0,0.0,15.929943897949348,22.601403030269527,0.0,13.703784234591359,36.824188783338165,17.055830223869847,1.4118420783282006,0.0,0.0,54.88,65.42477470681094,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.127307514551426,16.49018619620062,88.37972323265724,2.5677342765810027,12.596975151171577,5.969693024586377,-3.202291889749726,-1.699328703703703,-1.1331042139077854,0.0,-10.31273421096834,0.0,0.3,15,1,4,0,0,0,0,1,1,3,1,5,5,0,0,0,1,1.7318399999999998,61.90620000000001,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N#Cc1ccc(NCc2[nH]ncc2Br)nn1,Z1558806907,8.731969805095032,8.731969805095032,0.13057245737801249,-2.7103539540816324,0.8868741553246358,279.10099999999983,272.04499999999996,277.9915563240002,80,0,0.1897588930008622,-0.36290874647208415,0.36290874647208415,0.1897588930008622,1.75,2.625,3.3125,13.304759388045236,-0.1653206818758959,0.6776413356382346,-2.3810102464356473,0.6901988923450569,-2.422137316298526,3.3866034035790538,-0.7802592873294751,2.742079083557522,2.5745283966797103,815.6965900392357,17.524579547452824,14.561246046008975,9.14724258512368,10.623133451166577,7.298657011754384,4.697228090311819,2.4320162252545092,3.225014494811861,1.417097639086454,1.9699868138297802,0.7561756702378539,1.0034352259878212,-1.9399999999999995,97031.21045076648,4.927886066928651,4.720368843618695,2.3490671327361814,109.78428929138694,5.309813353288376,11.887084090627301,8.517612151504862,0.0,0.0,0.0,5.091706557583081,0.0,10.360573363039524,10.197363616602075,0.0,28.01478131327594,0.0,29.690195186662677,9.677476937507501,21.747806675784375,5.261891554738487,20.387751982486193,0.0,6.496859684315945,5.309813353288376,34.11830813167069,0.0,6.069221312792274,5.309813353288376,5.817862777835028,0.0,15.929943897949348,20.387751982486193,6.496859684315945,11.33111286753076,18.24164877054802,22.730452141973764,2.8236841566564013,0.0,0.0,90.28,41.96031107798924,0.0,0.0,9.78253286912079,5.091706557583081,0.0,0.0,6.069221312792274,0.0,31.225989322852463,14.939368492245988,54.09545034700315,2.929650256407787,0.0,19.436481591667377,-0.8866112108423612,-0.6123790627362051,0.31214618581975184,-0.3977174865712023,-2.7103539540816324,0.0,0.1111111111111111,16,2,6,0,0,0,0,2,2,5,2,7,3,0,0,0,2,1.4459799999999996,60.3614,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N#Cc1ccc(NCc2csc(Br)c2)nn1,Z1558671020,8.741974970384288,8.741974970384288,0.1866080876795162,-2.651025250377929,0.9454740113223022,295.16499999999985,288.109,293.95747932400025,80,0,0.1627863091476555,-0.36447455320886285,0.36447455320886285,0.1627863091476555,1.6875,2.5625,3.25,13.253832225121755,-0.16530781508961598,0.6774838192400054,-2.389236301333641,0.6913177664983098,-2.4125444006036374,3.62900282188055,-0.7782445063302269,2.742079083557522,2.5745283966797103,818.5164091076699,17.524579547452824,14.575067145472921,9.977560265515352,10.623133451166579,7.36247811121833,5.52475936620345,2.4354528032061764,4.56984828730551,1.3829115332065447,2.6542334204881435,0.767853564972457,1.6503449113826552,-1.4499999999999997,97031.21045076648,5.253497032954607,5.05362595532823,2.777823843438513,114.96933395919456,5.309813353288376,11.887084090627301,7.105770073176662,0.0,0.0,0.0,0.0,0.0,5.261891554738487,21.534149494536813,0.0,44.97676592230383,6.496859684315945,12.010966554858038,9.636393415349522,33.08459255371911,5.261891554738487,10.197363616602075,0.0,6.496859684315945,5.309813353288376,38.52716523703966,0.0,6.069221312792274,5.309813353288376,5.817862777835028,0.0,27.266729775884087,10.197363616602075,6.496859684315945,11.33111286753076,19.481930823566774,27.2697857504942,1.4118420783282006,0.0,0.0,61.6,30.093487872326023,0.0,0.0,26.058213180152983,0.0,11.336785877934737,0.0,6.069221312792274,0.0,26.127307514551426,14.898284970088007,55.181627889690205,3.8747891957262444,0.0,15.525606775729884,-0.7686894001427724,-0.5832199546485255,0.08757741068955927,0.0,-2.651025250377929,0.0,0.1,16,1,4,0,0,0,0,2,2,5,1,6,3,0,0,0,2,2.7843800000000005,66.09270000000001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
