,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,,1.181513648,1.439357463,0.276861683,,,,,,
pyridazine,,,,,,,,,,,
pyrimidine,,,,0.444698014,0.029686437,0.152301085,0.266892042,,,,
pyrazine,,,1.297091082,,0.581327921,,0.283771484,,,,
pyrrole,,,0.052304444,0.368231327,,1.013997437,1.432472135,0.728641938,0.329717298,0.113359108,1.413805242
pyrazole,,,0.366611763,,1.138373584,,1.023668688,0.817180991,0.33473248,1.31661442,
imidazole,,,0.362487701,0.263700386,0.955587646,0.904594368,,2.007125399,1.414693759,,
thiazole,,,,0.547104741,0.375928866,,1.273613709,,1.96661885,,
oxazole,,,,,0.56504731,,3.338669869,6.770729104,,0.687078914,1.321070234
isoxazole,,,,,0.102231642,1.759370016,,,0.513357257,,0.605788647
furan,,,,,,,,,0.336078541,0.488672225,